Blast injury from explosive munitions.	To evaluate the effect of blast in common war injuries.
Effect of alternate-day regular and enteric-coated aspirin on platelet aggregation, bleeding time, and thromboxane A2 levels in bleeding-time blood.	The effectiveness of low-dose aspirin for primary prevention of cardiovascular mortality is being assessed among the nearly 22,000 United States physicians currently participating in the Physicians' Health Study. Because of occasional reports of gastric irritation among study participants, two enteric-coated aspirin preparations were tested as possible alternatives to regular compressed aspirin for platelet inhibition. Thirty-three volunteers were assigned randomly to one of four treatment groups: regular aspirin (325 mg), placebo, and two enteric-coated aspirin preparations (325 mg). Pills were administered every other day, duplicating the regimen used in the Physicians' Health Study. Bleeding times, platelet aggregation, and thromboxane A2 levels produced by aggregating platelets in vitro, as well as in collected bleeding-time blood, were determined. Measurements were taken before and after a single dose as well as after seven alternate-day doses. Regular and enteric-coated aspirin preparations were equally efficacious in prolonging the bleeding time, inhibiting platelet aggregation, and suppressing thromboxane A2 production. There was virtually complete suppression of thromboxane A2 production (over 99 percent), by platelets in vitro and in collected bleeding-time blood. The levels were still profoundly reduced (89 percent) 48 hours after the last dose. Enteric-coated aspirin may provide an alternative to regular aspirin in a low-dose regimen designed to inhibit platelet activity.
Effect of short-term cyclosporine administration in rats on renin-angiotensin and thromboxane A2: possible relevance to the reduction in glomerular filtration rate.	A short-term treatment with Cyclosporine A (CyA) induces a decrease in glomerular filtration rate (GFR), promptly reversible after withdrawal of the drug. Several lines of evidence are now available as to indicate that this phenomenon is dependent on a hemodynamic perturbation resulting in a renal vasoconstriction. With the present work we have examined the relationship between the reduction in GFR which follows a short-term administration of CyA in rats and the biochemical changes in renin-angiotensin system and renal arachidonic acid metabolism. Our results show that CyA administration (25 mg/kg/day) for 45 days stimulates renin-angiotensin system with an increase in plasma renin activity. These changes are not accompanied by a parallel increase in the renal synthesis of vasodilatory prostaglandin E2 and prostacyclin as it occurs in other conditions of renin-angiotensin stimulation. At variance glomerular synthesis and urinary excretion of thromboxane A2 (TxA2) are increased progressively during CyA treatment. These changes in renal Tx precede the increase in serum creatinine and the decrease in GFR thus indicating that TxA2 might be an additional factor potentiating the effect of angiotensin II on glomerular hemodynamics. In conclusion the early reduction in GFR which follows daily administration of CyA in rats might be the result of a synergic action of angiotensin II and TxA2 on vascular tone and mesangial contraction which is not modulated by an increase in glomerular vasodilatory prostaglandins. If this explanation may be applied to early reduction in GFR observed in humans treated with CyA before tubular toxicity develops needs to be investigated further.
Regulation of microvascular prostacyclin and thromboxane with inhibitors of arachidonic acid metabolism.	The levels of the stable degradation products of prostacyclin (PGI2) and thromboxane A2 (TXA2): 6-oxo-prostaglandin E1 alpha (6-oxo-PGE1 alpha) and thromboxane B2 (TXB2) respectively were determined in the effluent of the rabbit epigastric skin flap after infusion of exogenous arachidonic acid. The blood to the flap passes through the microcirculation and thus the changes in eicosanoid biosynthesis in this part of the vasculature were recorded. The aim was to use inhibitors of arachidonic acid metabolism to increase the PGI2/TXA2 ratio. This may be potentially beneficial to ischaemic skin flaps by reducing platelet aggregation associated with damaged microvascular endothelium, overcoming vasospasm and increasing microvascular blood flow. Increased PGI2/TXA2 ratios (up to 5-fold) were best achieved using TXA2 synthetase inhibitors such as dazoxiben hydrochloride. These were significantly more potent than the phosphodiesterase inhibitor dipyridamole, and the lipoxygenase inhibitor Bay g6575. No increase in blood flow was achieved. The cyclooxygenase inhibitor indomethacin did slow the blood flow at high concentrations (above 10(-5) M), and inhibited both PGI2 and TXA2 synthesis. Approximately 2-fold higher concentrations of dazoxiben hydrochloride and dipyridamole were required to produce the same TXA2 synthetase inhibition in the flap microvasculature in vivo compared with platelets in vitro.
Effects of low doses of aspirin, 10 mg and 30 mg daily, on bleeding time, thromboxane production and 6-keto-PGF1 alpha excretion in healthy subjects.	To compare the long term effects of two low doses of aspirin taken daily, we performed a placebo-controlled cross-over study in 19 normal subjects. Aspirin 10 mg daily for 3 weeks caused a significant inhibition by 61 +/- 12 percent of platelet thromboxane B2 generation but had no effect on the Simplate bleeding time. Aspirin 30 mg daily for 3 weeks reduced thromboxane B2 production by 94 +/- 5 percent and caused a significant prolongation of the bleeding time, 1.6 times the control value. No cumulative inhibitory effects were observed after the first week of treatment. Both doses did not effect the urinary excretion of 6-keto-PGF1 alpha.
Spontaneous platelet aggregation: observations on potential mechanisms.	We identified SPA in three young apparently healthy women. SPA was associated with release of TXA2 and was only partially inhibited by ADP-inhibitor apyrase and alpha 2-adrenoceptor blocker yohimbine. In vitro incubation of aspirin (90 micrograms/ml) or selective TXA2 synthetase inhibitor OKY-046 (0.1 uM) with platelet rich plasma (PRP) did not abolish SPA, although platelet generation of TXA2 was markedly inhibited. In contrast, oral administration of large amounts of aspirin in one subject or in vitro incubation of PRP with TXA2 -endoperoxide receptor blocker SQ 29,548 (20-100 nM) significantly inhibited SPA. These studies suggest that SPA is associated with TXA2 release. Since TXA2 -endoperoxide receptor blocker completely abolishes the secondary wave, agents like this may be of therapeutic value in individuals with SPA and evidence of tissue ischemia.
Effects of hypothyroidism and short-term aging on whole blood thromboxane and arterial prostacyclin synthesis.	Hypothyroidism results in decreased platelet aggregation and has unique effects on the development of atherosclerosis and angina pectoris. Because prostacyclin and thromboxane A2 profoundly influence platelet function and vascular tone and are thought to be important in the development of atherosclerosis and angina pectoris, we studied the effects of hypothyroidism in rats on the in vitro elaboration of prostacyclin passively by aortic tissue and of thromboxane A2 by thrombin-stimulated whole blood. Hypothyroidism induced by iodine 131 (given at age 7 weeks) persistently caused a mild decrease in platelet count (P less than 0.01) and 30% decrease in immunoreactive thromboxane B2 (the hydrolysis product of thromboxane A2) generation per platelet (P less than 0.01) compared with age-matched euthyroid rats. Between 20 and 23 weeks of age immunoreactive 6-ketoprostaglandin F1 alpha (the hydrolysis product of prostacyclin) generation decreased by 30% in euthyroid rats. In hypothyroid rats less than 23 weeks of age, 6-ketoprostaglandin F1 alpha production was the same as that of age-matched euthyroid rats. With further aging, 6-ketoprostaglandin F1 alpha production did not decrease as it did in euthyroid rats. Hypothyroid rats more than 20 weeks old had, therefore, significantly greater 6-ketoprostaglandin F1 alpha production than age-matched euthyroid rats (P less than 0.005). L-Thyroxine given daily for 28 days to 23-week-old hypothyroid rats caused a rapid increase in platelet count and a delayed normalization of the thromboxane synthetic abnormality. 6-Ketoprostaglandin F1 alpha production transiently increased in response to L-thyroxine, but decreased to the euthyroid level after 28 days of therapy.(ABSTRACT TRUNCATED AT 250 WORDS)
Regional differences in postischemic recovery in the stunned canine myocardium.	To determine if differences exist in the degree of ischemic damage and in postischemic recovery when different coronary arteries are occluded and reperfused, 40 barbital-anesthetized dogs were subjected to brief 15-minute periods of coronary artery occlusion followed by 3 hours of reperfusion ("stunned" myocardium) of the left anterior descending (LAD) or the left circumflex (LCX) coronary arteries. Myocardial segment shortening (%SS) in the subendocardium of nonischemic and ischemic reperfused areas was measured by sonomicrometry, and regional myocardial blood flow was measured by radioactive microspheres. Transmural tissue biopsies were taken at the end of reperfusion for the measurement of adenine nucleotides and total tissue water content. Arterial and local coronary venous blood samples were collected during preocclusion, during occlusion, and at 30 and 180 minutes of reperfusion for determination of blood oxygen content and oxygen consumption in the ischemic area. During occlusion, subendocardial blood flow (LAD flow = 0.11 +/- 0.02; LCX flow = 0.15 +/- 0.04 ml/min/gm), myocardial oxygen consumption (LAD = 2.4 +/- 0.7; LCX = 2.7 +/- 0.7 ml/min/100 gm), and areas of the left ventricle at risk (LAD = 27.4 +/- 2.3%; LCX = 32.4 +/- 2.4) were similar in both groups, thus indicating equivalent degrees of ischemia. There were no differences between groups in hemodynamics throughout the experiment or in the loss of myocardial high-energy phosphates or increase in total tissue water in the ischemic reperfused area at 3 hours of reperfusion. There was a significantly greater loss (p less than 0.05) of systolic wall function during LAD versus LCX occlusion and a greater recovery of segment function from 5 minutes throughout 1 hour of reperfusion after LCX occlusion (p less than 0.05), with no difference in %SS at 2 and 3 hours following reperfusion. Thus, although similar changes occurred in blood flow, metabolite parameters, tissue edema, wall function, and overall hemodynamics when either the LAD or LCX perfusion territories were occluded and reperfused, the loss of systolic wall function and recovery of segment shortening were more variable after regional stunning of the LCX perfusion bed. These data suggest that evaluation of pharmacologic or surgical interventions to improve postischemic functional recovery may be more reliably performed when the LAD coronary artery is the vessel occluded.
Pulmonary hypertension and leukosequestration after lower torso ischemia.	Ischemia stimulates thromboxane (Tx) synthesis. This study tests the hypothesis that the cardiopulmonary dysfunction that may follow aortic declamping is related to Tx. Anesthetized dogs (N = 15) were subjected to 4 hours of infrarenal aortic cross-clamping. In untreated control animals (N = 7), plasma levels of TxB2 rose from 654 +/- 74 pg/mL to 1238 +/- 585 pg/mL at 5 min (p less than 0.05), and to 3174 +/- 912 pg/mL 3 hours after declamping (p less than 0.05). Mean pulmonary artery pressure (MPAP) rose 5 min after declamping from 13 +/- 2 mmHg to 21 +/- 2 mmHg (p less than 0.05). Cardiac Index (CI) declined during ischemia from 181 +/- 30 mL/kg.min to 128 +/- 16 mL/min.kg (p less than 0.05), and to 80 +/- 8 mL/min.kg after 4 hours of reperfusion (p less than 0.05). Platelet counts declined but platelets labeled with In 111 did not accumulate in the lungs, whereas quantitative counts of polymorphonuclear leukocytes (PMN) in the lungs 4 hours after declamping yielded 213 +/- 33 PMN/25 high power fields (HPF) in dependent areas of the lung and 153 +/- 26 PMN/25 HPF in nondependent areas. The wet/dry weight ratio of the lungs was not elevated, although foci of proteinaceous exudate and PMNs in alveoli were noted. Another group of dogs (N = 8) were pretreated by random choice with the Tx synthase inhibitor OKY-046 2 mg/kg IV every 2 hours, which led to: lower TxB2 levels at baseline 95 +/- 35 pg/mL (p less than 0.05), 5 min after ischemia 140 +/- 93 pg/mL and after 3 hours of reperfusion 122 +/- 36 (p less than 0.05); lower MPAP, 16 +/- 2 mmHg (p less than 0.05); higher CI throughout (p less than 0.05); normal histology and reduced pulmonary PMN sequestration both in dependent 127 +/- 15 PMN/25 HPF and nondependent areas of the lungs 95 +/- 11 PMN/25 HPF (p less than 0.05). In animals undergoing sham ischemia (N = 3), levels of TxB2 and cardiopulmonary function remained unchanged from baseline. There were 150 PMN/25 HPF in dependent and 85 PMN/25 HPF in nondependent lung areas. The results indicate that ischemia-generated Tx mediates a rise in MPAP, a fall in CI, and PMN entrapment in the lungs.
Thromboxane mediation of cardiopulmonary effects of embolism.	Humoral factors released from platelets during pulmonary embolism may be the cause of several attendant cardiopulmonary abnormalities. This study examines the role of thromboxanes (Tx) after experimental embolism induced with 0.5 g/kg autologous clot in four groups of five dogs: (a) untreated embolized controls; (b) pretreatment with the Tx synthetase inhibitor, imidazole 25 mg/kg . h i.v., starting 30 min before embolization; (c) pretreatment with the cyclooxygenase inhibitor indomethacin, 5 mg/kg, 12 h per os and 1 mg/kg, 1 h i.v. before the experiment; (d) treatment with prostacyclin (PGI(2)) 100 etag/kg . min i.v. for 1 h, 1 h after embolization. Within 30 min, embolization led to increases of 6-keto-PGF(1alpha), the stable hydrolysis product of PGI(2), from 0.11+/-0.08 etag/ml (mean+/-SD) to 0.33+/-0.10 etag/ml (P < 0.005) and TxB(2), the stable product of TxA(2), from 0.10+/-0.04 etag/ml to 0.38+/-0.06 etag/ml (P < 0.001). Increases were observed in total dead space (V(D)/V(T)) from 0.46+/-0.03 to 0.61+/-0.08 (P < 0.025, physiologic shunting (Q(S)/Q(T)) from 16+/-4% to 38+/-9% (P < 0.01), pulmonary vascular resistance (PVR) from 2.27+/-0.59 mm Hg.min/liter to 9.21+/-1.90 mm Hg.min/liter (P < 0.005) and mean pulmonary arterial pressure from 14+/-6 mm Hg to 34+/-1 mm Hg (P < 0.001). Cardiac index (CI) fell from 139+/-11 ml/kg.min to 95+/-17 ml/kg.min in 4 h (P < 0.025). Imidazole pretreatment prevented a rise of TxB(2), but not 6-keto-PGF(1alpha); indomethacin blocked both. Both agents maintained V(D)/V(T) at base line and limited increases in Q(S)/Q(T) and PVR. CI was higher after imidazole pretreatment compared with controls (P < 0.025). Indomethacin led to intermediate levels of CI. PGI(2) lowered TxB(2) (P < 0.025), V(D)/V(T) (P < 0.025), Q(S)/Q(T) (P < 0.025) and PVR (P < 0.05) within 30 min. During PGI(2) infusion, CI was higher than controls. Concentrations of TxB(2) correlated with V(D)/V(T), r = 0.79 and Q(S)/Q(T), r = 0.69 (P < 0.001). Treatment of three dogs with the imidazole derivative ketoconazole, 10 mg/kg IV, 30 min after 0.75 g/kg autologous clot resulted in a lowering of physiologic dead space, but no other improvement of cardiopulmonary function. These results show that a number of cardiopulmonary abnormalities induced by pulmonary embolism are related directly or indirectly to platelet secretions and that V(D)/V(T) is closely allied to TxA(2) levels.
In vitro effect of unsaturated fatty acids on the balance between thromboxane A2 and prostacyclin in the blood vascular system.	Unsaturated fatty acids (FAs) (oleic, linoleic, alpha -linolenic, and gamma -linolenic acids) were found to inhibit platelet thromboxane synthetase. This conclusion was based on the following experimental evidence. 1. Reduced formation of TxB2 and increased formation of prostaglandins F2 alpha, E2 and D2 as seen in autoradiography of TLC plate. 2. Inhibition of ADP- and collagen-induced aggregation of PRP samples in the presence of the unsaturated FAs. 3. Reduced formation of TxB2 determined by RIA in PRP samples pretreated with the unsaturated FAs followed by collagen-induced aggregation. 4. Reduced formation of MDA in the presence of the unsaturated FAs. 5. Increased formation of PGI2 (determined as 6-keto-PGF1 alpha), PGE2, PGF2 alpha and PGD2 (redirection effect) in the presence of the unsaturated FAs in a system consisting of washed human platelet preparation and a piece of rat aorta from labelled arachidonate. TxB2 was reduced. 6. Aggregation experiment confirming above.
Increased fibrinopeptide A formation and thromboxane A2 production in patients with ischemic heart disease: relationships to coronary pathoanatomy, risk factors, and clinical manifestations.	In 98 patients with ischemic heart disease (IHD), independent of their clinical status (previous myocardial infarction, spontaneous angina or effort angina), a hypercoagulable state (indicated by significant elevation of fibrinopeptide A plasma level) and an increased platelet biologic activity were observed. Moreover, plasma fibrinopeptide A concentration and platelet aggregation were remarkably higher in patients with frequently occurring spontaneous clinical manifestations (active disease) than in IHD patients with relatively quiescent symptoms. Abnormalities of blood clotting and platelet changes were not significantly altered by the presence of severity of coronary angiographic fixed obstruction in IHD. Multiple regression analysis indicated that hypercoagulability and increased platelet biologic activity were not a consequence of differences in risk factor patterns in IHD patients compared to control subjects.
The effects of Salvia miltiorrhizae Bge and Ligustrazine on thromboxane A2 and prostacyclin in pregnancy induced hypertension]	The clinical efficiency and mechanism of traditional Chinese medicinal herb Salvia Miltiorrhizae Bge (SMB) and Ligustrazine (L) on pregnancy induced hypertension (PIH) were studied in 30 patients. Before and after the administration of SMB and L, the following parameters: mean arterial pressure (MAP), proteinuria, levels of Thromboxane A2 (TXA2) and Prostacyclin (PGI2) were observed. TXA2 and PGI2 were measured by their stable hydration products Thromboxane B2 (TXB2) and 6-keto-prostaglandin F1 alpha (6-keto-PGF1 alpha) by an established radioimmunoassay. The results of treatment were compared with the base line values and showed as follows: MAP and proteinuria decreased significantly (P < 0.05); no marked difference existed in TXB2; the level of 6-keto-PGF1 alpha increased significantly (P < 0.05); the rate of TXB2/6-keto-PGF1 alpha decreased significantly (P < 0.05). The results suggested that SMB and L can invigorate blood circulation by decreasing vasoconstriction.
The utero-placental circulation, eugenics and the prevention and treatment of high risk pregnancies.	Through systematic experimental and clinical studies, the physiological regulation of utero-placental circulation and the relation of the disturbance in this acirculation to pathogenic mechanisms of high risk pregnancies-Intrauterine Growth Retardation (IUGR) and Pregnancy-induced hypertension (PIH) were explored. The pharmacological effects and mechanism of a Chinese herbal medicine-Qingxintong in improving, the utero-placental circulation and the therapeutic efficacy in treatment of IUGR and PIH, both accompanied by disturbance of utero-placental circulation, were investigated as well.
Plasma prostacyclin and thromboxane concentrations in 160 normotensive, hypotensive, and preeclamptic patients during pregnancy, delivery, and the post partum period.	Plasma concentrations of 6-keto-prostaglandin F1 alpha, a stable metabolite of prostacyclin, and TxB2 were measured in 160 women during pregnancy (n = 106), delivery (n = 40), and in the postpartum period (n = 14). Fifty nine patients had normal blood pressure, 10 had mild and 9 severe preeclampsia while 38 patients were hypotensive. Normotensive patients were grouped according to their gestational age: 22-26 weeks (n = 22), 27-31 weeks (n = 22), and 32-38 weeks (n = 15). 20 patients were in early first stage of delivery (cervical dilatation < or = 5 cm), 20 patients in late first stage (cervical dilatation > or = 6 cm). The concentration (mean value +/- SEM) of the PGI2 metabolite tended to increase during pregnancy without reaching significance (218 +/- 11; 225 +/- 10; 250 +/- 15 pg/ml). At the same time, TxB2 showed a decrease, which was most pronounced at 27-31 weeks (65 +/- 15; 40 +/- 2; 48 +/- 4 pg/ml; p < 0.001). The ratio of PGI2/TxA2 increased in parallel (4.9 +/- 0.4; 6 +/- 0.4; 4 +/- 0.5). There was no difference in plasma concentrations of PGI2 (figure 4) and TxA2 in patients with normal blood pressure, mild preeclampsia and hypotension, whereas in severe preeclampsia, the plasma concentration of PGI2 was significantly lower (p < 0.001) and of TxA2 significantly higher (p < 0.001). The ratio of PGI2/TxA2 shifted significantly to vasoconstriction in patients with severe preeclampsia (p < 0.0001) and to vasodilatation in those with hypotension (p < 0.03).(ABSTRACT TRUNCATED AT 250 WORDS)
Involvement of endothelin and prostanoids in coronary vasospasm]	The involvement of endothelin, an important endogenous vascular constrictor, and prostanoids in coronary vasospasm was evaluated in 14 patients with and 12 patients without coronary vasospasm who had normal coronary angiograms. Coronary vasospasm was defined as a total or subtotal occlusion or diffuse and intense constriction of the left coronary artery provoked by intracoronary acetylcholine administration and associated with electrocardiographic ischemic ST-segment shifts. Blood samples were taken from the left coronary ostium and the coronary sinus before and during coronary spasm. The blood concentrations of endothelin, 6-keto-PGF1 alpha, and thromboxane B2 were measured. Patients with and without coronary vasospasm demonstrated no significant changes in endothelin and thromboxane B2 concentrations in the coronary sinus blood, or in the difference between left coronary ostium and coronary sinus blood. Patients with coronary vasospasm had 6-keto-PGF1 alpha concentrations in the coronary sinus before and during coronary vasospasm of 133.6 +/- 32.5 and 179.4 +/- 46.7 pg/ml, respectively (p < 0.05), and the differences between coronary sinus and coronary ostium concentrations were -25.7 +/- 29.5 and 41.6 +/- 22.6 pg/ml, respectively (p < 0.05). Patients without coronary vasospasm showed no significant changes in 6-keto-PGF1 alpha concentration. Endothelin and thromboxane A2 are not involved in coronary vasospasm, while prostacyclin concentration rises during coronary vasospasm provoked by acetylcholine.
Estrogen substitution: effects on lipid, eicosanoid and collagen metabolism in menopause]	Biochemical markers of bone metabolism are not well established as diagnostic tools. Recently, a new radioimmunoassay has been described, that specifically detects the carboxyterminal telopeptide of type I collagen (ICTP). We have used this method in our studies. Ten menopausal women, age 49-64, received 1.25 mg conjugated estrogens (Presomen) within three cycles of 20 days and 8 days pause. Before and under therapy following parameters have been estimated: cholesterol, LDL, HDL, triglycerides, estradiol, FSH, prolactin, thromboxane B2- 6-ketoprostaglandin F1 alpha, ICTP, and the carboxyterminal propeptide of type I procollagen (PICP). Administration of Presomen resulted in significantly increased levels of HDL. Hormonal replacement therapy (HRT) also resulted in significantly decreased levels of cholesterol, LDL, triglycerides, FSH, prolactin, ICTP, and thromboxane B2. PICP and 6-ketoprostaglandin F1 alpha were uneffected by HRT. Our studies confirm the favorable effects of HRT on lipoprotein metabolism. In addition to these findings we noted a beneficial effect on the arachidonic acid metabolism and on the bone resorption, this requires confirmation in clinical trials.
Effect of intraventricular hemorrhage in newborns on levels of certain prostanoids in blood plasma]	Recent studies suggest that eicosanoids might be involved in pathogenesis of vascular problems in preterm infants. The aim of the study was determine the concentrations most potent occurring vasoactive substances: Thromboxane A2 (TxA2) promoting vasoconstriction and prostacyclin (PGI2) causing vasodilation of vascular smooth muscles. We assessed the concentrations of stable metabolites TxA2-TxB2 and PGI2-6 keto PGF1 alpha in blood plasma by RIA method. It was found that neonates with RDS + IVH had significantly elevated TxB2 and 6 keto PGF1 alpha compared to healthy newborns, with transient tachypnoea and with RDS. High concentrations of thromboxane and prostacyclin metabolites in newborns plasma with IVH suggest a causative role of eicosanoids in pathogenesis of haemorrhage. The cells of impaired blood vessels may be probable source of these eicosanoids.
Blood levels of 6-keto-prostaglandin F1alpha, thromboxane and prostaglandin F2alpha in patients with bronchial asthma]	The study revealed the relation of bronchial asthma (bacterial variant) clinical pattern to plasma levels of PGF2 alpha, 6-keto-PGF1 alpha and TxB2. In remission of the disease the above indices are lower. Severe asthma remission is characterized by higher levels of 6-keto-PGF1 alpha and TxB2 than moderate asthma one, demonstrates a tendency to growing PGF2 alpha levels. A rise in PGF2 alpha and TxB2 in manifest asthma points to their participation in bronchospasm formation suggesting an active role of these bronchoconstrictors in asthma pathogenesis. Higher levels of 6-keto-PGF1 alpha are of a compensary nature in the pathogenesis of PGF2 alpha and TxB2 bronchoconstrictory action, and of damaging nature contributing to the formation of bronchial mucosa edema and bronchial gland hypersecretion.
The effect of x-ray contrast media on the amount of thromboxane and prostacyclin in the blood of man and rats in vivo and in vitro]	The in vivo and in vitro effects of radioopaque agents such as bilignost, iodamide, and triombrast on blood thromboxane B2 (TxB2) and prostacyclin levels were studied in man and rats. These radioopaque agents were demonstrated to increase prostacyclin levels and to decrease TxB2 in the plasma by 40%, as evidenced by urography when given in vivo (1-2 g/kg) and in vitro (2.5.10(-2) M and 2.5.10(-3) M).
Blood pressure-lowering effect of fish oil is independent of thromboxane A2 level in spontaneously hypertensive rats.	Whether the alterations in the synthesis of thromboxane A2 (TXA2) is the direct mechanism underlying the blood pressure-lowering effect of fish oil was investigated in this study. Six groups of 11 male spontaneously hypertensive rats were fed semipurified diets containing corn or fish oils and graded levels (50, 5000 or 15,000 ppm) of dietary vitamin E for 8 weeks. Plasma TXA2, assayed by RIA, was significantly greater in the corn oil group than in the fish oil group (P < 0.05). Compared to 50 ppm dietary vitamin E, 5000 and 15 000 ppm dietary vitamin E, respectively, significantly decreased plasma TXA2 (P < 0.05). Systolic, mean or diastolic blood pressure, evaluated by the tail cuff method, were significantly higher in the corn oil group than in the fish oil group (P < 0.05). However, vitamin E had no effect on blood pressure. No relationship between TXA2 and blood pressure was found. Experimental results indicated that the alterations in the synthesis of TXA2 were not the direct antihypertensive effect of fish oil.
