The course of maturation of rod-mediated visual thresholds in infants.	To measure the developmental course of infants' rod-mediated thresholds.
Profound contrast adaptation early in the visual pathway.	Prior exposure to a moving grating of high contrast led to a substantial and persistent reduction in the contrast sensitivity of neurons in the lateral geniculate nucleus (LGN) of macaque. This slow contrast adaptation was potent in all magnocellular (M) cells but essentially absent in parvocellular (P) cells and neurons that received input from S cones. Simultaneous recordings of M cells and the potentials of ganglion cells driving them showed that adaptation originated in ganglion cells. As expected from the spatiotemporal tuning of M cells, adaptation was broadly tuned for spatial frequency and lacked orientation selectivity. Adaptation could be induced by high temporal frequencies to which cortical neurons do not respond, but not by low temporal frequencies that can strongly adapt cortical neurons. Our observations confirm that contrast adaptation occurs at multiple levels in the visual system, and they provide a new way to reveal the function and perceptual significance of the M pathway.
The effect of spatial cues on visual sensitivity.	Although once doubted, a consensus has emerged from the literature that visual sensitivity can be heightened locally with an appropriate precue. Experiments with partially and totally valid precues suggest an increase in sensitivity of less than one-half log unit at the precued position, as compared with other positions. New experiments with non-informative precues demonstrate that most of this small enhancement is not due to focal attention. Sensitivity can be heightened at eight positions simultaneously, just as much as when a single position is precued. Sensitivities produced by single, totally valid precues and single, non-informative precues were similar. Thus there seems to be no capacity limit for the effect of precues on visual sensitivity.
"Pop-out" of targets modulated in luminance or colour: the effect of intrinsic and extrinsic uncertainty.	Targets defined by attributes such as colour or brightness are said to "pop-out" from a cluttered scene, with little or no dependency on the size of the set to be searched, while search for other attributes can depend strongly on set-size. We measured contrast thresholds for increments and decrements in luminance or colour and show that they increase strongly with set-size (as previously observed for orientation). However, in some conditions, where the potential distractors were not salient visual targets, there was no dependency of set-size at all ("pop-out"). All the data can be modelled by assuming two main sources of uncertainty: the intrinsic uncertainty due to the number of detectors monitored during a specific task and the extrinsic uncertainty introduced by increasing the number of items displayed. The strength of the effect is well explained by a simple signal detection theory "signed-max" model suited for two-tailed tasks [Journal of Vision 2 (8), 559]. The results suggest that "pop-out" is not peculiar to luminance or colour, but may occur in conditions when the intrinsic uncertainty is so high as to saturate the effects of further uncertainty sources.
The spatial window of the perceptual template and endogenous attention.	One primary function of spatial attention is to exclude external noise [e.g., Psychol. Sci. 11(2) (2000) 139], especially in the region of the target stimulus [J. Vis. 2(4) (2000) 312]. What is not known is the spatial profile of external noise exclusion in the vicinity of the target and how this depends upon attention. The spatial region around an oriented Gabor target was segmented into four concentric rings (R1-R4). Psychometric functions were measured for orientation discrimination with external random Gaussian noise in all combinations of rings (e.g., R1 alone; R1+R2; etc.). Regions with larger impact on performance are weighted more heavily in the perceptual template. In an orientation discrimination task in periphery the effective noise regions aligned closely with the high contrast regions of the target Gabor, with attention reducing the effective noise across the spatial template. The combined effects of external noise regions were well-modeled by a (non-linear) perceptual template model (PTM) [Vis. Res. 38(9) (1998) 1183]. In another experiment in attended fovea, the results were similar to those in periphery, but exhibited additional ability to selectively weight clear spatial regions.
Temporal tuning characteristics of the perceptual template and endogenous cuing of spatial attention.	External noise presented in temporal contiguity with a target impairs perceptual performance, reflecting the temporal tuning of the perceptual template. Deriving the temporal characteristics of the perceptual template, however, requires an observer model that segregates the impact of non-linearities and intrinsic inefficiencies of the observer in order to account for the impact of external noise in various temporal configurations. In Experiment 1, we showed that the perceptual template model successfully accounts for temporal masking functions in foveal Gabor orientation identification masked by external noise with a wide range of temporal configurations, and estimates the temporal characteristics of the perceptual template. In Experiment 2, we extended the paradigm and the model to compare the temporal tuning characteristics of the perceptual template in central pre- and simultaneous cuing of endogenous spatial attention in a Gabor orientation identification task in visual periphery. We found that endogenous spatial attention excludes external noise by both sharpening the temporal window of the perceptual template and (mostly) reducing the impact of external noise uniformly across the entire temporal window.
Dynamic allocation of visual attention during the execution of sequences of saccades.	Laboratory tasks used to study vision and attention usually require steady fixation, while natural visual processing occurs during the brief pauses between successive saccades. We studied vision and attentional allocation during intersaccadic pauses as subjects made repetitive sequences of saccades. Displays contained six outline squares located along the perimeter of an imaginary circle (diam 4 degrees). Saccades were made in sequence to every other square. The visual task was to identify the orientation (2AFC) of a Gabor test stimulus that appeared briefly (91 ms) along with superimposed noise in one of the squares during a randomly selected intersaccadic pause. Gabor location was cued in advance and noise frames were presented in all squares. Contrast thresholds during intersaccadic pauses were as much as 2-3 times higher than during steady fixation with comparable cueing. Thresholds improved over time during the intersaccadic pause, and the lowest extrafoveal thresholds (statistically indistinguishable from those at the same locations during steady fixation) were found for the location that was to be the target of the next saccade in the sequence. These results show that vision during intersaccadic pauses varies over space and time due to changes in the distribution of attention, as well as to visual suppression that may be related to the execution of the saccades themselves. Generation of sequences of accurate saccades encouraged a strategy of attentional allocation in which resources were dedicated primarily to the goal of the next saccade, leaving little attention for processing objects at other locations.
Dissociating detection from localization of tactile stimuli.	In what they described as "a tactile analog of blindsight," Paillard et al. (1983) reported the case of a woman with damage to the left parietal cortex who was profoundly impaired in detecting tactile stimuli but could nonetheless correctly identify their location (also Rossetti et al., 1995). This stands in direct contrast to reports of neurological patients who were unable to accurately locate stimuli that they could successfully detect (Head and Holmes, 1911; Halligan et al., 1995; Rapp et al., 2002). The combination of these findings suggests that detecting and locating tactile stimuli are doubly dissociable processes, presumably mediated by different neural structures. We conducted four psychophysical experiments seeking evidence for such a double dissociation in neurologically intact subjects. We compared people's accuracy in detecting versus locating a tactile stimulus presented to one of four fingers and followed by a vibrotactile mask presented to all four fingers. Accuracy scores for both the yes-no detection and four-alternative forced-choice location judgments were converted to a bias-free measure (d'), which revealed that subjects were better at detecting than locating the stimulus. Detection was also more sensitive than localization to manipulations involving the mask: detection accuracy increased more steeply than localization accuracy as the target-mask interval increased, and detection, but not localization, was affected by changes in the mask frequency. By comparing these results with simulated data generated by computational models, we conclude that detection and localization are not mutually independent as previous neurological studies might suggest, but rather localization is subsequent to detection in a serially organized sensory processing hierarchy.
Odors detected by mice deficient in cyclic nucleotide-gated channel subunit A2 stimulate the main olfactory system.	It is believed that odor transduction in the mammalian main olfactory system only involves the cAMP-signaling pathway. Here, we report on odor responsiveness in mice with a disrupted cyclic nucleotide-gated (CNG) channel subunit A2. Several odorants, including putative pheromones, can be detected and discriminated by these mice behaviorally. These odors elicit responses in the olfactory epithelium, main olfactory bulb, and olfactory (piriform) cortex of CNGA2 knock-out mice. In addition, responses to odors detected by CNGA2 knock-out mice are relatively insensitive to inhibitors of the cAMP pathway. These results provide strong evidence that cAMP-independent pathways in the main olfactory system of mammals participate in detecting a subset of odors.
Sensory mapping of lip representation in brass musicians with embouchure dystonia.	Embouchure dystonia is a focal task-specific disorder involving abnormal non-coordinated movements and involuntary muscle contraction around the mouth. In professional brass players it is often so disabling that patients have to limit or give up their occupation. We examined the somatosensory homuncular representation and measured gap detection sensitivity of the lips in eight former professional musicians affected by embouchure dystonia and eight control subjects. Relative to controls, the patients' digit, and especially the thumb, representations were shifted in a lateral direction towards the lip representational zone. Patients' upper lips showed decreased sensitivity compared to their lower lips (p < 0.01). This asymmetry result was absent in controls. Abnormal somatosensory reorganization may contribute to the disorder.
No correlation between moving phosphene and motor thresholds: a transcranial magnetic stimulation study.	The aim of this study was to investigate the temporal stability of moving phosphenes and to assess whether moving phosphene thresholds (PTs) correlate with motor thresholds (MTs). Small moving sensations, so-called moving phosphenes, are perceived when V5, an area important for visual motion analysis, is stimulated by transcranial magnetic stimulation (TMS). However, it is still a matter of debate if V5 phosphenes are stable sensations across measurements and if they are a reasonable index of the cortical excitability of V5. Currently, MT is more commonly used as an index of global cortical excitability. However, previous studies have indicated that stationary PTs are suitable alternatives when the primary visual cortex is stimulated by TMS. Using paired-pulse TMS, stationary and moving PTs and applying single pulse TMS, MTs were measured in 11 subjects. PTs were retested in nine subjects 5-7 days later. Stationary and moving PTs were stable within subjects across the two sessions and showed a high inter-correlation. Conversely, PTs and MTs did not correlate. Our results are in agreement with previous studies showing that excitatory measurements of one specific cortex cannot be generalized to the excitability of the whole cortex. Thus, we propose specific measures for cortices of interest: PT for visual experiments and MT for motor experiments.
Functional MRI of the immediate impact of transcranial magnetic stimulation on cortical and subcortical motor circuits.	Recent studies indicate that the cortical effects of transcranial magnetic stimulation (TMS) may not be localized to the site of stimulation, but spread to other distant areas. Using echo-planar imaging with blood-oxygenation-level-dependent (BOLD) contrast at 3 Tesla, we measured MRI signal changes in cortical and subcortical motor regions during high-frequency (3.125 Hz) repetitive TMS (rTMS) of the left sensorimotor cortex (M1/S1) at intensities above and below the active motor threshold in healthy humans. The supra- and subthreshold nature of the TMS pulses was confirmed by simultaneous electromyographic monitoring of a hand muscle. Suprathreshold rTMS activated a network of primary and secondary cortical motor regions including M1/S1, supplementary motor area, dorsal premotor cortex, cingulate motor area, the putamen and thalamus. Subthreshold rTMS elicited no MRI-detectable activity in the stimulated M1/S1, but otherwise led to a similar activation pattern as obtained for suprathreshold stimulation though at reduced intensity. In addition, we observed activations within the auditory system, including the transverse and superior temporal gyrus, inferior colliculus and medial geniculate nucleus. The present findings support the notion that re-afferent feedback from evoked movements represents the dominant input to the motor system via M1 during suprathreshold stimulation. The BOLD MRI changes in motor areas distant from the site of subthreshold stimulation are likely to originate from altered synaptic transmissions due to induced excitability changes in M1/S1. They reflect the capability of rTMS to target both local and remote brain regions as tightly connected constituents of a cortical and subcortical network.
Global dendritic calcium spikes in mouse layer 5 low threshold spiking interneurones: implications for control of pyramidal cell bursting.	Interneuronal networks in neocortex underlie feedforward and feedback inhibition and control the temporal organization of pyramidal cell activity. We previously found that lower layer neocortical interneurones can reach action potential threshold in response to the stimulation of a single presynaptic cell. To better understand this phenomenon and the circuit roles of lower layer neocortical interneurones, we combined two-photon calcium imaging with whole cell recordings and anatomical reconstructions of low threshold spiking (LTS) interneurones from mouse neocortex. In both visual and somatosensory cortex, LTS interneurones are somatostatin-positive, concentrated in layer 5 and possess dense axonal innervation to layer 1. Due to the LTS properties, these neurones operate in burst and tonic modes. In burst mode, dendritic T-type calcium channels boosted small synaptic inputs and triggered low threshold calcium spikes, while in tonic mode, sodium-based APs evoked smaller calcium influxes. In both modes, the entire dendritic tree of LTS interneurones behaved as a 'global' single spiking unit. This, together with the fact that synaptic inputs to layer 5 LTS cells are facilitating, and that their axons target the dendritic region of the pyramidal neurones where bursts are generated, make these neurones ideally suited to detect and control burst generation of individual lower layer pyramidal neurones.
Differences in activity-dependent hyperpolarization in human sensory and motor axons.	The present study was undertaken to determine whether activity-dependent changes in axonal excitability are greater in motor axons than cutaneous afferents for the same impulse load. In nine healthy subjects, supramaximal stimulation at 8 Hz was delivered to the median nerve at the wrist. Changes in the threshold current required to generate compound motor and sensory potentials approximately 50% of maximum and other indices of axonal excitability were tracked before and after repetitive stimulation for 10 min. The long-lasting stimulation produced a prolonged depression in the excitability of both cutaneous afferents and motor axons, with gradual recovery to control levels over 15-20 min. These changes in threshold were associated with a reduction in refractoriness, an increase in supernormality and a decrease in the strength-duration time constant, changes consistent with axonal hyperpolarization. Greater changes in threshold occurred in motor axons: threshold increased by 9.9% and 16.4% for test stimulus durations of 0.1 and 1 ms, respectively, for motor axons and by 5.4% and 8.3% for cutaneous afferents. With higher stimulus frequencies and thereby greater impulse loads, greater threshold changes could be induced in cutaneous afferents. It is argued that the hyperpolarization resulted from activity of the electrogenic Na(+)-K+ pump, that it requires > 125 ms to restore the resting state following an action potential, and that significant intracellular Na+ accumulation occurs during a steady 8-Hz train. These findings imply that physiological discharge rates will activate the pump and thereby produce axonal hyperpolarization, the extent of which will vary with impulse load. A plausible explanation is that greater activity-dependent hyperpolarization in motor axons is due to less inward rectification as a result of less activity of the hyperpolarization-activated cation conductance (IH) than in cutaneous afferents.
Effects of age, menopause, and comorbidities on neurological function of the female genitalia.	The aim of this study was to investigate the effects of age, menopause, and comorbidities on neurological function of the female genitalia using a noninvasive, validated technique. In all, 58 consecutive women were enrolled in the study. Biothesiometry was performed at five genital sites and one peripheral site with S2 dermatome distribution. Kruskal-Wallis one-way ANOVA on ranks was used to evaluate the relationship between age and vibratory sensation. Bivariate and regressional analyses were performed to evaluate the effects of age, menopause and comorbidities on genital sensation. The mean age was 44.6+14.8 y (range 20-78 y). Vibration thresholds increased with advancing age at all six sites. Multilinear regression analysis indicated that menopause and increasing age negatively affect sensation. History of herniated lumbar disc, vaginal delivery, and diabetes variably affected genital sensation. There is a significant increase in vibration thresholds (indicating worsening neurological function) in women as they age and undergo menopause. Biothesiometry is a technique for evaluating genital neurological function in women with coexisting morbidities.
Cooling detection thresholds in the assessment of diabetic sensory polyneuropathy: comparison of CASE IV and Medoc instruments.	Cooling detection threshold testing may be an important quantitative method for assessing polyneuropathy, in that it has traditionally been viewed as a measure of small-fiber involvement. The present study sought to determine the agreement between two common testing devices and to determine whether these are concordant in their association with predictor variables for diabetic sensory polyneuropathy.
Effect of cataract extraction on frequency doubling technology perimetry.	To investigate the effect of cataract extraction on the results of frequency doubling technology (FDT) perimetry in healthy subjects.
Digital innervation patterns following median or ulnar nerve laceration and their correlation to anatomic variations of the communicating branch between these nerves.	The midline of the ring finger is classically considered as the neural watershed between the median and ulnar nerve sensory territories on the palmar surfaces of the fingers. Variations of this division exist and may be explained by a communicating branch between the third and fourth common digital nerves. The palmar sensibility patterns of fingers were assessed with Semmes Weinstein filaments after either a complete median or an ulnar nerve transection in 43 patients. Eight out of nine observed sensibility patterns could be explained by known anatomic types and subtypes of the communicating branch. The type of communicating branch, but not its subtype, could be established in the one remaining pattern.
Altered visceral perceptual and neuroendocrine response in patients with irritable bowel syndrome during mental stress.	Stress often worsens the symptoms of irritable bowel syndrome (IBS). We hypothesised that this might be explained by altered neuroendocrine and visceral sensory responses to stress in IBS patients.
Reduction of stimulus artifact in somatosensory evoked potentials: segmented versus subthreshold training.	A new approach to stimulus artifact cancellation is introduced, which attempts to model the process of stimulus artifact generation. This is done by training an estimator with multiple exemplars of the stimulus artifact at levels below the threshold of evoked response stimulation. Two estimators are formulated: one using a dynamic neural network and another using a linear estimator. The performance of these new approaches is compared to the segmented training approach, which has been previously demonstrated to be one of the most capable methods available. Performance assessment is carried out using a novel metric introduced in this paper, which focuses upon the relevant portion of the recorded waveform. The new cancellation schemes show distinct performance advantages over the segmented training approach.
Postural stability in the elderly: empirical confirmation of a theoretical model.	The study investigated whether physiological factors related to specific body systems can explain postural control as measured by the scalar distance at a given time between the center of pressure (COP) and the center of mass (COM), the COP-COM variable. The data from 46 healthy subjects and 29 subjects with disabilities due to stroke or diabetic peripheral neuropathy were analyzed. The biomechanical variable COP-COM was determined using two force platforms and an optoelectric system. Three systems were considered as possible predictors of the COP-COM amplitude: sensory (somatosensory and vision), musculoskeletal and central processor. A confirmatory analysis was done using structural equation modeling. Strength explained 23.74% of the COP-COM amplitude in the antero-posterior (A/P) with eyes open (EO) condition, and in the medio-lateral (M/L) direction strength explained 40.73 and 28.75% in the EO and eyes closed (EC) respectively. In the A/P direction with EC, 51.75% of the COP-COM amplitude variance was explained mainly by the somatosensory system. This study highlight the role of peripheral somatosensory input and muscle strength in the maintenance of postural stability during quiet stance in the elderly. The indirect action of the different systems on the COP-COM amplitude supports the systems theory.
Evidence for reflex and perceptual vestibular contributions to postural control.	Vestibular signals are known to have an important role in stance under specific conditions. Potentially these effects could be modulated by vestibular reflexes or by voluntary responses to perceived vestibular signals. Our preliminary aim was to confirm that vestibulospinal reflexes change in parallel with sway under different postural conditions, and then to determine whether any relationship was present between these reflexes and body sway within fixed postural conditions. Sixteen subjects (eight male, eight female) were tested in conditions assessing the effects of vision (eyes open or closed), support surface (firm or compliant), external support (with or without) and stance width (feet apart or together). Sway (centre of pressure) in the anteroposterior (AP) and mediolateral planes was measured using a force platform. A subgroup of 11 subjects (five male, six female) underwent testing to measure short (SL) and medium latency (ML) reflexes from soleus. Bipolar, transmastoid galvanic stimulation (1 mA, 200 ms) was administered while subjects stood in the most unstable of our conditions (eyes closed, compliant surface and feet together). In the final part, to assess possible perceptual contributions to body sway, short duration AP sway levels were measured and expressed in angular terms (sway in mrad, velocity in mrad s(-1)) in the 11 subjects for both our baseline (eyes open, firm surface and feet apart) and most unstable conditions. Average sway levels increased more than seven-fold between conditions and had significant, positive correlations with reported changes in mean vestibulospinal reflexes under similar conditions (overall r = 0.75, P < 0.001). However, the SL reflex for the subgroup of 11 subjects had a significant negative correlation (r = -0.71; P = 0.014) with the degree of AP sway in the condition with maximum reliance on vestibular inputs (eyes closed, compliant surface, and feet together). Under baseline conditions, 5/125 (4%) of the short-term AP sway displacements were above the threshold previously reported for the detection of imposed sway. In the unstable condition, when sway was increased, 43/138 (31%) of the short-term AP sway movements were above the threshold for perception of imposed body sway based on vestibular signals. Our results confirm that vestibulospinal reflexes appear to be acutely facilitated as body sway increases. For the most unstable condition, when non-vestibular information was absent or attenuated, subjects with larger SL reflexes had less AP sway, suggesting that the SL reflex acted to attenuate sway. Under the same condition, short duration sway levels increased such that 31% were above the previously published threshold for detection using vestibular afferents. We conclude that both vestibular reflexes and perceptual signals appear to have a specific role in the maintenance of upright stance, under conditions in which other sources of postural information are attenuated or absent.
Transcranial magnetic stimulation in the visual system. I. The psychophysics of visual suppression.	When applied over the occipital pole, transcranial magnetic stimulation (TMS) disrupts visual perception and induces phosphenes. Both the underlying mechanisms and the brain structures involved are still unclear. The first part of the study characterizes the suppressive effect of TMS by psychophysical methods. Luminance increment thresholds for orientation discrimination were determined in four subjects using an adaptive staircase procedure. Coil position was controlled with a stereotactic positioning device. Threshold values were modulated by TMS, reaching a maximum effect at a stimulus onset asynchrony (SOA) of approx. 100 ms after visual target presentation. Stronger TMS pulses increased the maximum threshold while decreasing the SOA producing the maximum effect. Slopes of the psychometric function were flattened with TMS masking by a factor of 2, compared to control experiments in the absence of TMS. No change in steepness was observed in experiments using a light flash as the mask instead of TMS. Together with the finding that at higher TMS intensities, threshold elevation occurs even with shorter SOAs, this suggests lasting inhibitory processes as masking mechanisms, contradicting the assumption that the phosphene as excitatory equivalent causes masking. In the companion contribution to this one we present perimetric measurements and phosphene forms as a function of the stimulation site in the brain and discuss the putative generator structures.
Transcranial magnetic stimulation in the visual system. II. Characterization of induced phosphenes and scotomas.	Transcranial magnetic stimulation (TMS) induces phosphenes and disrupts visual perception when applied over the occipital pole. Both the underlying mechanisms and the brain structures involved are still unclear. In the first part of this study we show that the masking effect of TMS differs to masking by light in terms of the psychometric function. Here we investigate the emergence of phosphenes in relation to perimetric measurements. The coil positions were measured with a stereotactic positioning device, and stimulation sites were characterized in four subjects on the basis of individual retinotopic maps measured by with functional magnetic resonance imaging. Phosphene thresholds were found to lie a factor of 0.59 below the stimulation intensities required to induce visual masking. They covered the segments in the visual field where visual suppression occurred with higher stimulation intensity. Both phosphenes and transient scotomas were found in the lower visual field in the quadrant contralateral to the stimulated hemisphere. They could be evoked from a large area over the occipital pole. Phosphene contours and texture remained quite stable with different coil positions over one hemisphere and did not change with the retinotopy of the different visual areas on which the coil was focused. They cannot be related exclusively to a certain functionally defined visual area. It is most likely that both the optic radiation close to its termination in the dorsal parts of V1 and back-projecting fibers from V2 and V3 back to V1 generate phosphenes and scotomas.
Goldfish color vision sensitivity is high under light-adapted conditions.	The wavelength discrimination threshold of three goldfish was examined in a series of behavioral experiments. Using an auto-shaping technique, detection thresholds were established for 531 and 648 nm spectral increments presented on a 6.6 cd m(-2) white background. Next, discrimination between the wavelengths was established at equal, suprathreshold, intensities. Finally, the intensities of the two stimuli were reduced to establish the intensity threshold for the wavelength discrimination. The results indicate that goldfish, like several mammalian species, can discriminate wavelength at detection threshold intensity. This finding suggests that high color sensitivity is not confined to mammals or dependent upon a very high percentage of wavelength opponent ganglion cells. Rather, high color vision sensitivity may be based upon an inherent sensitivity advantage of wavelength opponent receptive fields compared to non-wavelength opponent receptive fields and be an important selective advantage of wavelength opponency and color vision.
One-hertz subthreshold rTMS increases the threshold for evoking inhibition in the human motor cortex.	Despite indisputable evidence that repetitive transcranial magnetic stimulation (rTMS) modulates motor cortical excitability, the effects of subthreshold low-frequency rTMS on intracortical inhibition (ICI) are controversial. In this paper we investigated whether increasing the level of baseline ICI increases the sensitivity of ICI for disclosing the after-effects of rTMS on cortical excitability. In experiment 1, we studied changes in ICI, tested at two different baseline levels, after a train of 900 subthreshold rTMS pulses delivered at 1 Hz. In experiment 2, we studied whether the same conditioning rTMS train changed the ICI threshold, and in experiment 3 whether it changed the facilitatory I-wave interaction. Conditioning rTMS reduced ICI tested at a baseline level of 75% but left ICI tested at a baseline level of 50% unchanged. It also increased the ICI threshold but left the facilitatory I-wave interaction unchanged. These findings suggest that conditioning rTMS selectively reduced ICI tested at a baseline level of 75% by increasing the threshold for evoking inhibition in the motor cortex. The inhibitory system mediating ICI may therefore be more efficient than other motor cortical systems in reducing high cortical excitability after external intervention. Hence studies investigating the after-effects of rTMS should standardize ICI levels at baseline.
Impaired odor recognition memory in patients with hippocampal lesions.	In humans, impaired recognition memory following lesions thought to be limited to the hippocampal region has been demonstrated for a wide variety of tasks. However, the importance of the human hippocampus for olfactory recognition memory has scarcely been explored. We evaluated the ability of memory-impaired patients with damage thought to be limited to the hippocampal region to recognize a list of odors. The patients were significantly impaired after a retention delay of 1 h. Olfactory sensitivity was intact. This finding is in agreement with earlier reports that rats with hippocampal lesions exhibited memory impairment on an odor delayed nonmatching to sample task (after 30 min and 1 h) and that patients with damage thought to be limited to the hippocampal region were impaired on an odor span memory task. Olfactory recognition memory, similar to recognition memory in other sensory modalities, depends on the integrity of the hippocampal region.
"Acoustical vision" of below threshold stimuli: interaction among spatially converging audiovisual inputs.	Crossmodal spatial integration between auditory and visual stimuli is a common phenomenon in space perception. The principles underlying such integration have been outlined by neurophysiological and behavioral studies in animals; this study investigated whether the integrative effects observed in animals also apply to humans. In this experiment we systematically varied the spatial disparity (0 degrees, 16 degrees, and 32 degrees) and the temporal interval (0, 100, 200, 300, 400, and 500 ms) between the visual and the auditory stimuli. Normal subjects were required to detect visual stimuli presented below threshold either in unimodal visual conditions or in crossmodal audiovisual conditions. Signal detection measures were used. An enhancement of the perceptual sensitivity (d') for luminance detection was found when the audiovisual stimuli followed a simple spatial and temporal rule, governing multisensory integration at the neuronal level.
Visual experience can substantially alter critical flicker fusion thresholds.	Studies of psychopharmacology often use the test of the critical flicker fusion (CFF) threshold as a measure of total information processing. It is true that studies of practice effects have shown that CFF thresholds are remarkably stable within and across multiple days of testing. This study confirms that subjects who undergo CFF testing on sequential days have stable thresholds, but also demonstrates that in subjects who conducted 1 h of motion training per day for 9 days the CFF thresholds increased by an average of 30%. The results show that the perceptual experience of subjects can dramatically alter the CFF thresholds and should be an important consideration in the control of studies employing the CFF as a measure.
The effect of flicker rate on nasal and temporal measured visual field extent in infants.	To explore the effect of peripheral stimulus flicker rate on measured visual field extent (MVFE) in young infants.
Using visual noise to characterize amblyopic letter identification.	Amblyopia is a much-studied but poorly understood developmental visual disorder that reduces acuity, profoundly reducing contrast sensitivity for small targets. Here we use visual noise to probe the letter identification process and characterize its impairment by amblyopia. We apply five levels of analysis - threshold, threshold in noise, equivalent noise, optical MTF, and noise modeling - to obtain a two-factor model of the amblyopic deficit: substantially reduced efficiency for small letters and negligibly increased cortical noise. Cortical noise, expressed as an equivalent input noise, varies among amblyopes but is roughly 1.4x normal, as though only 1/1.4 the normal number of cortical spikes are devoted to the amblyopic eye. This raises threshold contrast for large letters by a factor of radical1.4 = 1.2x, a negligible effect. All 16 amblyopic observers showed near-normal efficiency for large letters (> 4x acuity) and greatly reduced efficiency for small letters: 1/4 normal at 2x acuity and approaching 1/16 normal at acuity. Finding that the acuity loss represents a loss of efficiency rules out all models of amblyopia except those that predict the same sensitivity loss on blank and noisy backgrounds. One such model is the last-channel hypothesis, which supposes that the highest-spatial-frequency channels are missing, leaving the remaining highest-frequency channel struggling to identify the smallest letters. However, this hypothesis is rejected by critical band masking of letter identification, which shows that the channels used by the amblyopic eye have normal tuning for even the smallest letters. Finally, based on these results, we introduce a new "Dual Acuity" chart that promises to be a quick diagnostic test for amblyopia.
Area summation and masking.	At detection threshold, sensitivity improves as the area of a test grating increases, but not when the test is placed on a pedestal and the task becomes contrast discrimination (G. E. Legge & J. M. Foley, 1980). This study asks whether the abolition of area summation is specific to the situation where mask and test stimuli have the same spatial frequency and orientation ("within-channel" masking) or is more general, also occurring when mask and test stimuli are very different ("cross-channel" masking). Threshold versus contrast masking functions were measured where the test and mask were either both small (SS), both large (LL), or small and large, respectively (SL). For within-channel masking, facilitation and area summation were found at low mask contrasts, but the results for SS and LL converged at intermediate contrasts and above, replicating Legge and Foley (1980). For all three observers, less facilitation was found for SL than for SS. For cross-channel masking, area summation occurred across the entire masking function and results for SS and SL were identical. The results for the entire data set were well fit by an extended version of a contrast masking model (J. M. Foley, 1994) in which the weights of excitatory and suppressive surround terms were free parameters. I conclude that (i) there is no empirical abolition of area summation for cross-channel masking, (ii) within-channel area summation can be abolished empirically without being disabled in the model, (iii) observers are able to select the area of spatial integration, but not suppression, (iv) extending a cross-channel mask to the surround has no effect on contrast detection, and (v) there is a formal similarity between area summation and contrast adaptation.
Spatial attention excludes external noise without changing the spatial frequency tuning of the perceptual template.	In this study, we investigated the functional mechanism by which spatial attention excludes unwanted information, a consequence of attention that has been consistently demonstrated at the neuronal level, the neural population level, and the overall behavioral level. The effect of spatial attention was measured using a temporal cuing paradigm. External noise, whose spatial frequency characteristics were systematically manipulated, was added to the signal stimulus. Contrast thresholds were measured as functions of the pass-band of the external noise to reveal the spatial frequency characteristics of the perceptual template in both the attended and unattended conditions. We found that spatial attention excludes external noise uniformly across all the spatial frequencies without changing the spatial frequency selectivity of the perceptual template.
Attentional cueing improves vision restoration therapy in patients with visual field defects.	In patients with postgenicular lesions of the visual system, areas of residual vision (ARVs) are the main predictor of recovery induced by vision restoration therapy (VRT). In these partially defective regions, the elevated perceptual thresholds can be acutely reduced by attentional cueing.
Improvement of spatial contrast sensitivity threshold after surgical reduction of intraocular pressure in unilateral high-tension glaucoma.	To measure the effect of a surgical reduction of IOP on the spatial contrast sensitivity threshold in eyes showing a considerably increased IOP but no glaucomatous visual field defect, on white-on-white computer-assisted static perimetry.
Vascular and nerve damage in workers exposed to vibrating tools. The importance of objective measurements of exposure time.	The aim of the present study was to compare the development of vibration white fingers (VWF) in workers in relation to different ways of exposure estimation, and their relationship to the standard ISO 5349, annex A. Nineteen vibration exposed (grinding machines) male workers completed a questionnaire followed by a structured interview including questions regarding their estimated hand-held vibration exposure. Neurophysiological tests such as fractionated nerve conduction velocity in hands and arms, vibrotactile perception thresholds and temperature thresholds were determined. The subjective estimation of the mean daily exposure-time to vibrating tools was 192 min (range 18-480 min) among the workers. The estimated mean exposure time calculated from the consumption of grinding wheels was 42 min (range 18-60 min), approximately a four-fold overestimation (Wilcoxon's signed ranks test, p<0.001). Thus, objective measurements of the exposure time, related to the standard ISO 5349, which in this case were based on the consumption of grinding wheels, will in most cases give a better basis for adequate risk assessment than self-exposure assessment.
Menstrual cycle-dependent changes in visual field analysis of healthy women.	To determine the effect of menstrual cycle phases on the visual field analysis of healthy females.
Orientation selectivity in luminance and color vision assessed using 2-d band-pass filtered spatial noise.	We evaluated orientation discrimination in color and luminance vision using an external noise paradigm. Stimuli were spatiotemporal patches of 2D orientation noise isolating the achromatic, red-green and blue-yellow mechanisms, and matched in multiples of contrast detection threshold. We found a monotonic increase of orientation discrimination thresholds with the stimuli orientation bandwidths that is similar for both color and luminance contrasts. This dependence was fitted with two suitable models. A variance summation model suggests that internal orientation noise is significantly greater for the chromatic than for the achromatic mechanisms, while the efficiencies are similar. A gain control model of orientation tuning suggests that both chromatic and achromatic mechanisms are characterized by broadly tuned orientation detectors and that the relative chromatic deficit in orientation discrimination may only result from a slightly broader orientation tuning for the chromatic mechanisms. The moderate deficiency in chromatic orientation discrimination may account for the small differences found in shape perception between color and luminance vision.
